listing_status,list_price,beds,baths,sqft_living,lot_sqft,year_built,city,zip_code,latitude,longitude,hoa_fee,days_on_market,price_per_sqft,listing_type,parking_garage,stories,house_age,baths_per_bed,total_rooms,sqft_per_bed,log_list_price,log_sqft_living,property_type_LAND,property_type_MOBILE,property_type_MULTI_FAMILY,property_type_SINGLE_FAMILY,property_type_TOWNHOMES
FOR_SALE,1674999,2.0,2.0,1587.0,131.0,2011.0,Austin,78701,30.265737,-97.74657,1808.0,149.0,1055.0,for_sale,1.0,1.0,15.0,1.0,4.0,793.5,14.331323723241304,7.370230641807081,0,0,0,0,0
FOR_SALE,19900000,3.0,4.0,15600.0,3920.0,1871.0,Austin,78701,30.270049,-97.741605,0.0,86.0,1276.0,for_sale,1.0,3.0,155.0,1.3333333333333333,7.0,5200.0,16.806230339945976,9.65509029374725,0,0,0,1,0
FOR_SALE,14950000,5.0,8.0,8803.0,3681.0,1930.0,Austin,78701,30.270243,-97.741535,0.0,31.0,1698.0,for_sale,3.0,2.0,96.0,1.6,13.0,1760.6,16.5202219246906,9.082961442646353,0,0,0,1,0
FOR_SALE,1495000,4.0,3.0,2057.0,144.0,2008.0,Austin,78701,30.267661,-97.749622,1976.0,58.0,727.0,for_sale,4.0,1.0,18.0,0.75,7.0,514.25,14.217637433703022,7.629489916393995,0,0,0,0,0
FOR_SALE,495000,2.0,2.0,1169.0,301.0,1964.0,Austin,78701,30.28065,-97.740283,1404.0,96.0,423.0,for_sale,1.0,1.0,62.0,1.0,4.0,584.5,13.112315061750808,7.064759027791802,0,0,0,0,0
FOR_SALE,560000,2.0,2.0,791.0,61.0,2019.0,Austin,78701,30.255947,-97.738936,669.0,88.0,708.0,for_sale,1.0,1.0,7.0,1.0,4.0,395.5,13.235693848424024,6.674561391814426,0,0,0,0,0
FOR_SALE,264900,1.0,1.0,728.0,113.0,2007.0,Austin,78701,30.265427,-97.73614,583.0,38.0,364.0,for_sale,1.0,1.0,19.0,1.0,2.0,728.0,12.487111450262473,6.591673732008658,0,0,0,0,0
FOR_SALE,500000,1.0,1.0,770.0,100.0,2008.0,Austin,78701,30.267661,-97.749622,725.0,57.0,649.0,for_sale,1.0,1.0,18.0,1.0,2.0,770.0,13.122365377402328,6.647688373563329,0,0,0,0,0
FOR_SALE,550000,1.0,1.0,1176.0,148.0,2002.0,Austin,78701,30.26789,-97.746508,1209.0,185.0,468.0,for_sale,1.0,1.0,24.0,1.0,2.0,1176.0,13.217675375388819,7.0707241072602764,0,0,0,0,0
FOR_SALE,399000,2.0,1.0,880.0,566.0,1964.0,Austin,78701,30.270079,-97.747568,733.0,8.0,453.0,for_sale,1.0,1.0,62.0,0.5,3.0,440.0,12.896719202134523,6.78105762593618,0,0,0,0,0
